datetime,temp,feels_like,humidity,pressure,weather,description,wind_speed,clouds
2026-03-07 06:00:00,276.17,276.17,87,1030,Clouds,overcast clouds,1.09,100
2026-03-07 09:00:00,275.97,275.97,89,1028,Clouds,overcast clouds,1.08,100
2026-03-07 12:00:00,275.96,273.94,93,1026,Clouds,overcast clouds,2.02,100
2026-03-07 15:00:00,277.04,274.37,92,1025,Clouds,overcast clouds,2.94,100
2026-03-07 18:00:00,278.87,276.26,89,1021,Clouds,overcast clouds,3.38,100
2026-03-07 21:00:00,279.6,277.45,93,1018,Clouds,overcast clouds,2.92,100
2026-03-08 00:00:00,280.2,278.3,98,1016,Clouds,overcast clouds,2.74,100
2026-03-08 03:00:00,280.3,278.31,99,1013,Clouds,overcast clouds,2.9,99
2026-03-08 06:00:00,282.04,280.4,100,1011,Rain,light rain,2.88,99
2026-03-08 09:00:00,283.45,283.12,99,1009,Rain,light rain,4.11,100
2026-03-08 12:00:00,283.1,281.44,99,1010,Clouds,overcast clouds,3.29,100
2026-03-08 15:00:00,286.16,285.94,93,1011,Clouds,overcast clouds,4.19,100
2026-03-08 18:00:00,287.63,286.96,70,1011,Clouds,overcast clouds,4.55,100
2026-03-08 21:00:00,284.11,283.59,89,1011,Rain,moderate rain,3.17,100
2026-03-09 00:00:00,282.73,281.36,92,1013,Clouds,overcast clouds,2.68,100
2026-03-09 03:00:00,281.64,279.87,95,1015,Clouds,overcast clouds,2.96,98
2026-03-09 06:00:00,280.93,279.44,92,1016,Clouds,broken clouds,2.37,51
2026-03-09 09:00:00,280.56,279.33,77,1016,Clear,clear sky,2.0,0
2026-03-09 12:00:00,280.39,280.39,69,1018,Clear,clear sky,1.19,0
2026-03-09 15:00:00,284.42,282.99,53,1019,Clear,clear sky,2.03,0
2026-03-09 18:00:00,288.09,286.87,47,1017,Clear,clear sky,3.87,0
2026-03-09 21:00:00,287.33,286.0,46,1016,Clear,clear sky,3.43,1
2026-03-10 00:00:00,284.83,283.52,56,1017,Clear,clear sky,2.72,1
2026-03-10 03:00:00,284.14,283.38,80,1017,Clear,clear sky,3.28,0
2026-03-10 06:00:00,283.02,281.72,87,1017,Clear,clear sky,2.65,0
2026-03-10 09:00:00,282.24,280.65,93,1017,Clear,clear sky,2.87,0
2026-03-10 12:00:00,282.45,281.32,91,1019,Clear,clear sky,2.26,0
2026-03-10 15:00:00,287.52,286.68,64,1020,Clear,clear sky,1.73,2
2026-03-10 18:00:00,291.34,290.62,54,1019,Clear,clear sky,2.11,5
2026-03-10 21:00:00,287.15,286.36,67,1018,Clouds,scattered clouds,4.3,25
2026-03-11 00:00:00,283.65,282.95,84,1019,Clouds,few clouds,3.42,18
2026-03-11 03:00:00,282.29,280.95,89,1019,Clouds,few clouds,2.51,20
2026-03-11 06:00:00,281.14,279.92,95,1018,Clouds,scattered clouds,2.09,39
2026-03-11 09:00:00,282.2,280.71,99,1016,Rain,light rain,2.7,85
2026-03-11 12:00:00,281.42,280.87,98,1015,Rain,light rain,1.46,92
2026-03-11 15:00:00,286.02,285.84,95,1013,Clouds,overcast clouds,3.52,100
2026-03-11 18:00:00,292.84,292.77,73,1010,Clouds,overcast clouds,6.2,100
2026-03-11 21:00:00,295.23,295.09,61,1009,Clouds,overcast clouds,6.8,99
2026-03-12 00:00:00,293.33,293.34,74,1009,Clouds,overcast clouds,6.67,99
2026-03-12 03:00:00,291.65,291.62,79,1009,Clouds,overcast clouds,5.15,100
